id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kasus,satuan,tahun
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,ORANG,2021
154,32,JAWA BARAT,3271,KOTA BOGOR,21,ORANG,2021
155,32,JAWA BARAT,3272,KOTA SUKABUMI,0,ORANG,2021
156,32,JAWA BARAT,3273,KOTA BANDUNG,22,ORANG,2021
157,32,JAWA BARAT,3274,KOTA CIREBON,2,ORANG,2021
158,32,JAWA BARAT,3275,KOTA BEKASI,6,ORANG,2021
159,32,JAWA BARAT,3276,KOTA DEPOK,58,ORANG,2021
160,32,JAWA BARAT,3277,KOTA CIMAHI,72,ORANG,2021
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,10,ORANG,2021
162,32,JAWA BARAT,3279,KOTA BANJAR,0,ORANG,2021
