id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kasus,satuan,tahun
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,14971,ORANG,2020
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,59660,ORANG,2020
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,34880,ORANG,2020
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,31170,ORANG,2020
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,46916,ORANG,2020
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,43540,ORANG,2020
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,26242,ORANG,2020
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,64003,ORANG,2020
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,77768,ORANG,2020
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,46305,ORANG,2020
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,10840,ORANG,2020
127,32,JAWA BARAT,3271,KOTA BOGOR,30026,ORANG,2020
128,32,JAWA BARAT,3272,KOTA SUKABUMI,8929,ORANG,2020
129,32,JAWA BARAT,3273,KOTA BANDUNG,81327,ORANG,2020
130,32,JAWA BARAT,3274,KOTA CIREBON,8703,ORANG,2020
131,32,JAWA BARAT,3275,KOTA BEKASI,68679,ORANG,2020
132,32,JAWA BARAT,3276,KOTA DEPOK,67073,ORANG,2020
133,32,JAWA BARAT,3277,KOTA CIMAHI,16751,ORANG,2020
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,18121,ORANG,2020
135,32,JAWA BARAT,3279,KOTA BANJAR,4949,ORANG,2020
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,91434,ORANG,2021
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,62891,ORANG,2021
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,18179,ORANG,2021
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,12893,ORANG,2021
140,32,JAWA BARAT,3205,KABUPATEN GARUT,28764,ORANG,2021
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,9686,ORANG,2021
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,20250,ORANG,2021
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,12455,ORANG,2021
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,30706,ORANG,2021
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,14495,ORANG,2021
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,13268,ORANG,2021
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,14437,ORANG,2021
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,17415,ORANG,2021
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,19472,ORANG,2021
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,16777,ORANG,2021
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,15001,ORANG,2021
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,11184,ORANG,2021
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2613,ORANG,2021
154,32,JAWA BARAT,3271,KOTA BOGOR,5391,ORANG,2021
155,32,JAWA BARAT,3272,KOTA SUKABUMI,5464,ORANG,2021
156,32,JAWA BARAT,3273,KOTA BANDUNG,17180,ORANG,2021
157,32,JAWA BARAT,3274,KOTA CIREBON,8563,ORANG,2021
158,32,JAWA BARAT,3275,KOTA BEKASI,9980,ORANG,2021
159,32,JAWA BARAT,3276,KOTA DEPOK,10170,ORANG,2021
160,32,JAWA BARAT,3277,KOTA CIMAHI,1115,ORANG,2021
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,9123,ORANG,2021
162,32,JAWA BARAT,3279,KOTA BANJAR,2053,ORANG,2021
